dBFS,time
-45.92715072631836,1727793982049999
-47.614410400390625,1727793982149000
-47.6010856628418,1727793982249999
-42.97919464111328,1727793982351000
-44.49576187133789,1727793982449999
-44.21808624267578,1727793982551000
-45.54937744140625,1727793982651000
-47.216827392578125,1727793982751000
-46.66363525390625,1727793982867000
-47.14649200439453,1727793982967000
-46.29730987548828,1727793983067000
-40.0327033996582,1727793983168000
-43.063751220703125,1727793983268000
-43.766658782958984,1727793983384000
-44.206268310546875,1727793983484000
-45.62315368652344,1727793983585000
-46.92372512817383,1727793983702000
-43.7652587890625,1727793983801000
-44.961631774902344,1727793983902000
-39.93498611450195,1727793984001000
-41.82122802734375,1727793984101000
-43.815494537353516,1727793984217999
-44.983062744140625,1727793984318000
-45.8693962097168,1727793984419000
-45.035400390625,1727793984535000
-45.0414924621582,1727793984635000
-45.13235092163086,1727793984735000
-44.45413589477539,1727793984835000
-45.320770263671875,1727793984936000
-44.363773345947266,1727793985036000
-44.97315979003906,1727793985135000
-43.89987564086914,1727793985235000
-40.46282196044922,1727793985335000
-38.92195510864258,1727793985436000
-41.000244140625,1727793985536000
-43.23493957519531,1727793985636000
-44.73762512207031,1727793985736000
-44.41107177734375,1727793985836000
-41.04365158081055,1727793985936000
-42.106361389160156,1727793986036000
-43.22922897338867,1727793986136000
-43.3912467956543,1727793986237000
-43.53532409667969,1727793986337000
-43.41879653930664,1727793986437000
-41.333343505859375,1727793986537000
-42.69160461425781,1727793986637000
-44.36315155029297,1727793986737000
-44.177520751953125,1727793986841000
-43.21798324584961,1727793986953999
-43.34529495239258,1727793987054000
-43.21272277832031,1727793987153999
-44.08052444458008,1727793987254000
-44.54961013793945,1727793987353999
-44.30527877807617,1727793987454000
-45.19279479980469,1727793987553999
-42.704864501953125,1727793987654000
-42.737857818603516,1727793987753999
-42.94866943359375,1727793987854000
-44.383182525634766,1727793987955000
-45.33446502685547,1727793988055000
-43.08354949951172,1727793988155000
-44.14955520629883,1727793988255000
-43.99152755737305,1727793988356000
-42.156410217285156,1727793988472000
-41.43476867675781,1727793988572000
-42.20270919799805,1727793988672000
-42.595436096191406,1727793988772000
-41.17018508911133,1727793988872000
-42.61814498901367,1727793988972000
-44.06602096557617,1727793989072000
-43.133846282958984,1727793989172000
-42.95643997192383,1727793989272000
-40.441429138183594,1727793989373000
-42.607078552246094,1727793989473000
-41.33733367919922,1727793989589000
-42.55325698852539,1727793989689999
-42.79594421386719,1727793989790000
-44.22758102416992,1727793989889999
-43.4234733581543,1727793989990000
