dBFS,time
-32.115108489990234,1729477330616000
-24.81974220275879,1729477330721999
-26.100629806518555,1729477330823000
-25.946786880493164,1729477330923000
-24.282922744750977,1729477331023000
-24.37848663330078,1729477331123000
-26.09417724609375,1729477331224000
-24.19443702697754,1729477331323000
-26.466325759887695,1729477331423000
-28.588363647460938,1729477331526000
-24.294729232788086,1729477331640000
-26.05854034423828,1729477331741000
-26.71303367614746,1729477331841000
-20.87082862854004,1729477331941000
-23.570240020751953,1729477332041000
-25.37234115600586,1729477332141000
-27.85529327392578,1729477332241000
-28.651456832885742,1729477332341000
-26.76590919494629,1729477332457999
-23.83866310119629,1729477332565000
-23.470407485961914,1729477332673999
-21.172182083129883,1729477332775000
-22.960559844970703,1729477332873999
-23.68675422668457,1729477332975000
-25.762638092041016,1729477333075000
-12.411962509155273,1729477333175000
-15.286060333251953,1729477333275000
-17.007713317871094,1729477333375000
-18.21062660217285,1729477333475000
-15.560685157775879,1729477333575000
-18.066802978515625,1729477333675000
-18.930435180664062,1729477333775000
-15.512495994567871,1729477333876000
-13.037592887878418,1729477333975000
-15.569973945617676,1729477334076000
-7.482998847961426,1729477334176000
-11.111222267150879,1729477334276000
-13.56067180633545,1729477334376000
-17.456161499023438,1729477334476000
-20.524864196777344,1729477334576000
-22.5655460357666,1729477334676000
-24.53597068786621,1729477334776000
-25.765363693237305,1729477334876000
-26.51781463623047,1729477334976000
-25.093599319458008,1729477335077000
-23.628015518188477,1729477335177000
-25.038896560668945,1729477335276000
-24.93801498413086,1729477335377000
-24.16119384765625,1729477335477000
-19.743614196777344,1729477335577000
-22.2406063079834,1729477335677000
-23.558164596557617,1729477335777000
-20.915199279785156,1729477335894000
-19.829790115356445,1729477335993999
-21.560260772705078,1729477336094000
-17.441274642944336,1729477336193999
-17.595373153686523,1729477336294000
-18.63258934020996,1729477336393999
-18.981964111328125,1729477336494000
-13.525012969970703,1729477336593999
-15.461994171142578,1729477336700000
-16.803539276123047,1729477336811000
-9.983113288879395,1729477336911000
-8.710295677185059,1729477337011000
-6.652953147888184,1729477337111000
-8.069095611572266,1729477337211000
-9.686566352844238,1729477337312000
-8.899852752685547,1729477337412000
-8.07659912109375,1729477337512000
-8.480287551879883,1729477337612000
-9.186651229858398,1729477337712000
-5.864051818847656,1729477337812000
-8.705699920654297,1729477337912000
-10.865959167480469,1729477338029000
-13.453563690185547,1729477338129000
-14.709089279174805,1729477338229000
-16.193540573120117,1729477338329000
-18.541576385498047,1729477338429000
-19.860313415527344,1729477338535000
-13.54248332977295,1729477338646000
-15.291369438171387,1729477338745999
-9.887789726257324,1729477338863000
-11.380166053771973,1729477338963000
-13.794798851013184,1729477339063000
-16.437744140625,1729477339163000
-12.670971870422363,1729477339263000
-12.481433868408203,1729477339363000
-15.787063598632812,1729477339463000
-9.919498443603516,1729477339563000
-10.541499137878418,1729477339663000
-12.18139934539795,1729477339763000
-11.60336685180664,1729477339864000
-4.278684616088867,1729477339964000
-7.765585899353027,1729477340064000
-11.160161972045898,1729477340164000
-14.39631462097168,1729477340264000
-17.368310928344727,1729477340364000
-17.576602935791016,1729477340464000
-19.893421173095703,1729477340564000
-15.17992877960205,1729477340681000
-17.424678802490234,1729477340781000
-19.68217658996582,1729477340881000
-21.099040985107422,1729477340981000
-16.29781723022461,1729477341081000
-15.798441886901855,1729477341181000
-18.65423011779785,1729477341281000
-17.768598556518555,1729477341381000
-18.179351806640625,1729477341481000
-16.90355682373047,1729477341582000
-17.712705612182617,1729477341681999
-19.29832649230957,1729477341782000
-18.079740524291992,1729477341881999
-19.350440979003906,1729477341982000
-17.46588134765625,1729477342081999
-14.933789253234863,1729477342182000
-17.4974422454834,1729477342281999
-19.77145004272461,1729477342382000
-20.868507385253906,1729477342481999
-19.753231048583984,1729477342582000
-19.061115264892578,1729477342681999
-21.530460357666016,1729477342782000
-23.27510643005371,1729477342881999
-21.80974769592285,1729477342982000
-20.15220832824707,1729477343083000
-21.201801300048828,1729477343183000
-19.063617706298828,1729477343283000
-20.98525047302246,1729477343383000
-21.899627685546875,1729477343483000
-18.25293731689453,1729477343583000
-19.948780059814453,1729477343683000
-22.143287658691406,1729477343783000
-19.513669967651367,1729477343883000
-21.524127960205078,1729477343983000
-19.064584732055664,1729477344083000
-21.435453414916992,1729477344184000
-22.94548988342285,1729477344284000
-20.084686279296875,1729477344384000
-21.08062171936035,1729477344484000
-23.428638458251953,1729477344584000
-21.58375358581543,1729477344684000
-24.283586502075195,1729477344784000
-22.47126579284668,1729477344884000
-23.09178352355957,1729477344985000
-22.742460250854492,1729477345084000
-17.756155014038086,1729477345184000
-20.65353012084961,1729477345285000
-22.578754425048828,1729477345385000
-21.430150985717773,1729477345485000
-20.493364334106445,1729477345585000
-21.872333526611328,1729477345685000
-22.65283203125,1729477345785000
-24.127119064331055,1729477345885000
-26.132394790649414,1729477345985000
-27.443159103393555,1729477346085000
-20.222862243652344,1729477346185000
-21.72137451171875,1729477346285000
-21.74339485168457,1729477346385000
-16.831172943115234,1729477346485000
-19.255422592163086,1729477346585999
