dBFS,time
-49.2224006652832,1727699084814000
-48.160980224609375,1727699084924000
-48.00056838989258,1727699085024000
-43.00926208496094,1727699085125000
-45.34435272216797,1727699085225000
-46.36445999145508,1727699085325000
-47.76506423950195,1727699085425000
-47.61351776123047,1727699085525000
-43.63719940185547,1727699085625999
-45.122310638427734,1727699085741000
-45.71624755859375,1727699085841999
-46.80964279174805,1727699085941000
-46.725982666015625,1727699086041999
-46.5117073059082,1727699086142000
-45.303749084472656,1727699086243000
-29.37704849243164,1727699086359000
-28.97593116760254,1727699086459000
-31.893903732299805,1727699086559000
-15.702459335327148,1727699086676000
-16.22194480895996,1727699086776000
-16.177879333496094,1727699086876000
-16.7420597076416,1727699086976000
-17.295900344848633,1727699087093000
-17.288806915283203,1727699087193000
-18.35246467590332,1727699087293000
-17.59072494506836,1727699087393000
-15.706575393676758,1727699087493000
-18.225982666015625,1727699087593000
-20.47295570373535,1727699087700000
-21.77403450012207,1727699087809999
-23.962547302246094,1727699087910000
-20.22740364074707,1727699088027000
-20.071151733398438,1727699088127000
-22.566720962524414,1727699088227000
-22.8712100982666,1727699088327000
-24.912641525268555,1727699088427000
-25.578014373779297,1727699088544000
-23.121667861938477,1727699088644000
-20.05890464782715,1727699088745000
-21.499135971069336,1727699088844000
-22.080724716186523,1727699088945000
-22.614748001098633,1727699089045000
-18.695777893066406,1727699089145000
-20.00444793701172,1727699089245000
-22.053834915161133,1727699089345000
-20.835201263427734,1727699089445000
-18.636037826538086,1727699089545000
-20.926509857177734,1727699090646000
-21.355119705200195,1727699090745999
-23.791399002075195,1727699090846000
-22.360286712646484,1727699090945999
-23.906898498535156,1727699091046000
-26.616256713867188,1727699091145999
-28.201082229614258,1727699091246000
-29.056577682495117,1727699091345999
-29.57745361328125,1727699091463000
-29.59442138671875,1727699091563000
-19.25531005859375,1727699089645000
-18.32440948486328,1727699089745000
-18.320510864257812,1727699089845000
-19.0222225189209,1727699089945000
-19.212194442749023,1727699090045000
-20.578845977783203,1727699090145000
-19.688709259033203,1727699090245000
-18.480255126953125,1727699090345000
-19.962167739868164,1727699090446000
-21.054182052612305,1727699090545999
-31.524370193481445,1727699091663000
-32.54309844970703,1727699091763000
-31.54685401916504,1727699091863000
-23.90445899963379,1727699091964000
-25.587059020996094,1727699092064000
-27.888792037963867,1727699092164000
-31.36845588684082,1727699092264000
-34.303035736083984,1727699092364000
-37.23148727416992,1727699092464000
-40.26197052001953,1727699092564000
-41.25787353515625,1727699092664000
-41.464176177978516,1727699092764000
-39.45015335083008,1727699092869000
-40.774139404296875,1727699092981000
-42.1048469543457,1727699093081000
-43.345680236816406,1727699093181000
-43.09405517578125,1727699093281000
-43.971012115478516,1727699093381000
-43.20951461791992,1727699093481000
-44.34173583984375,1727699093581000
